교량명,시군구명,최종안전점검결과,준공후경과년수,시설물종별등급구분,교량시작점위도,교량시작점경도
무명2교,양평군,C,33,3,37.530701,127.62569
광탄상교,양평군,B,23,2,37.510836,127.635295
성덕교,양평군,B,29,3,37.480801,127.417846
성덕2교,양평군,B,20,3,37.472879,127.420156
성덕4교,양평군,B,25,3,37.470686,127.419861
성덕5교,양평군,B,15,3,37.468796,127.42065
송학1교,양평군,B,28,3,37.4794,127.475427
송학2교,양평군,B,19,3,37.478358,127.472506
옥수교,양평군,C,41,3,37.533515,127.467059
전수교,양평군,B,24,3,37.497217,127.414644
전수교 1,양평군,B,29,3,37.49373,127.416434
전수새마을교,양평군,B,16,3,37.485332,127.415994
세월교,양평군,C,47,3,37.442178,127.491115
석산교,양평군,C,30,3,37.640276,127.62231
하삼정교(서울),부천시 오정구,B,31,3,37.524155,126.765562
하삼정교(인천),부천시 오정구,B,31,3,37.524155,126.765562
부천IC본선육교(서울),부천시 오정구,B,31,3,37.524211,126.776875
부천IC본선육교(인천),부천시 오정구,B,31,3,37.524211,126.776875
부천1육교(서울),부천시 원미구,B,31,기타,37.524211,126.776875
부천1육교(인천),부천시 원미구,B,31,기타,37.524211,126.776875
여월교(서울),부천시 오정구,B,31,기타,37.52163,126.799254
여월교(인천),부천시 오정구,B,31,기타,37.52163,126.799254
원종육교(서울),부천시 오정구,B,31,3,37.521805,126.810496
원종육교(인천),부천시 오정구,B,31,3,37.521805,126.810496
작동육교(서울),부천시 오정구,B,31,기타,37.521805,126.810496
작동육교(인천),부천시 오정구,B,31,기타,37.521805,126.810496
일산IC1교,고양시 덕양구,B,22,2,37.635922,126.804604
일산IC교(일산),고양시 덕양구,B,22,3,37.635922,126.804604
일산IC교(판교),고양시 덕양구,B,22,3,37.635922,126.804604
대장철교(판교),고양시 덕양구,B,22,1,37.626971,126.804045
대장철교(일산),고양시 덕양구,B,22,1,37.626971,126.804045
대장교(일산),고양시 덕양구,B,22,3,37.626971,126.804045
대장교(판교),고양시 덕양구,B,22,3,37.626971,126.804045
대장천교(일산),고양시 덕양구,B,22,1,37.618882,126.799826
대장천교(판교),고양시 덕양구,B,22,1,37.618882,126.799826
자유로ICR-A교,고양시 덕양구,B,26,2,37.618882,126.799826
자유로ICR-B교,고양시 덕양구,B,26,2,37.618882,126.799826
자유로ICR-C교,고양시 덕양구,B,22,1,37.618882,126.799826
자유로ICR-D교(0),고양시 덕양구,B,22,2,37.618882,126.799826
자유로ICR-D교(1),고양시 덕양구,B,17,2,37.618882,126.799826
자유로ICR-E교,고양시 덕양구,B,26,1,37.611575,126.793251
자유로ICR-F1교,고양시 덕양구,B,17,3,37.618882,126.799826
자유로ICR-F교,고양시 덕양구,B,26,1,37.611575,126.793251
