교량명,시설물종별등급구분,시도명,시군구명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수
가산교,기타,경기도,여주시,37.341758,127.621735,37.342353,127.62122,80.0,25.0,5,강박스거더교,B,DB-24,16
금의교,3,경기도,화성시,37.108549,126.816827,37.10877,126.81702,30.0,21.0,4,PSCI거더교,B,DB-24,15
석포1교,기타,경기도,화성시,37.123578,126.832362,37.123689,126.832566,15.0,21.0,4,라멘교,B,DB-24,15
석포2교,3,경기도,화성시,37.125036,126.835146,37.125245,126.835602,45.0,28.0,6,강박스거더교,B,DB-24,15
석포3교,3,경기도,화성시,37.125631,126.836583,37.125785,126.837063,30.0,23.0,4,PSCI거더교,B,DB-24,15
서근교,3,경기도,화성시,37.12853,126.850122,37.128603,126.850476,30.0,21.0,4,PSCI거더교,B,DB-24,15
덕우1교,기타,경기도,화성시,37.133514,126.856414,37.133648,126.85649,15.0,21.0,4,라멘교,B,DB-24,15
덕우2교,3,경기도,화성시,37.140685,126.861008,37.140913,126.861207,30.0,31.6,4,PSCI거더교,C,DB-24,15
덕천교,3,경기도,화성시,37.1511,126.870429,37.151353,126.870831,30.0,21.0,4,PSCI거더교,B,DB-24,15
동방대교,2,경기도,화성시,37.144586,126.864174,37.148007,126.866502,432.0,21.0,4,강박스거더교,B,DB-24,15
율암교,3,경기도,화성시,37.155858,126.887537,37.155818,126.888017,30.0,30.0,6,프리플렉스거더교,B,DB-24,15
율암1교,3,경기도,화성시,37.154452,126.890868,37.154122,126.891383,45.0,8.0,1,프리플렉스거더교,B,DB-24,15
율암2교,3,경기도,화성시,37.1543,126.892612,37.154668,126.892964,35.0,8.0,1,프리플렉스거더교,B,DB-24,15
멱우1교,기타,경기도,화성시,37.103113,126.811954,37.103342,126.812158,30.4,32.0,6,PSCI거더교,B,DB-24,15
멱우교,2,경기도,화성시,37.094567,126.805377,37.096886,126.806761,284.0,21.0,4,강박스거더교,B,DB-24,15
조암교,2,경기도,화성시,37.079208,126.798023,37.08009,126.798291,100.0,28.0,6,강박스거더교,B,DB-24,15
봉화교,기타,경기도,화성시,37.065809,126.799416,37.066091,126.799419,30.3,32.0,6,PSCI거더교,B,DB-24,15
